  1.145314067582e+004  1.495821369504e+011  3.156320809617e+011  5.504364284096e+010 -2.944553519678e+010 -2.205181400489e+011 -1.422050118909e+012 -2.124693000629e+012  4.476767837133e+012 -4.646786369654e+012
  2.303688253514e+006  1.493702066834e+011  3.132356346357e+011  5.746382510928e+010 -3.611088880243e+010 -2.192917402754e+011 -1.422213208312e+012 -2.123778161825e+012  4.476869976091e+012 -4.647367719409e+012
  4.599061285591e+006  1.489200841325e+011  3.108356351815e+011  5.834233913949e+010 -4.262197838201e+010 -2.179657578503e+011 -1.422373684013e+012 -2.122862843371e+012  4.476971851890e+012 -4.647948948999e+012
  6.897478944342e+006  1.482324692675e+011  3.084321098392e+011  5.765571272996e+010 -4.895094266327e+010 -2.165407940683e+011 -1.422531545726e+012 -2.121947045475e+012  4.477073464521e+012 -4.648530058410e+012
  9.198843519113e+006  1.473084358695e+011  3.060250858891e+011  5.542281432861e+010 -5.507065782091e+010 -2.150174936918e+011 -1.422686793168e+012 -2.121030768344e+012  4.477174813980e+012 -4.649111047626e+012
  1.150305321227e+007  1.461494300572e+011  3.036145906516e+011  5.170429283611e+010 -6.095484329318e+010 -2.133965446901e+011 -1.422839426063e+012 -2.120114012184e+012  4.477275900260e+012 -4.649691916632e+012
  1.381000260769e+007  1.447572682735e+011  3.012006514865e+011  4.660083669005e+010 -6.657816518595e+010 -2.116786779629e+011 -1.422989444137e+012 -2.119196777203e+012  4.477376723356e+012 -4.650272665413e+012
  1.611958326882e+007  1.431341347342e+011  2.987832957929e+011  4.025031247114e+010 -7.191633701444e+010 -2.098646670492e+011 -1.423136847125e+012 -2.118279063608e+012  4.477477283262e+012 -4.650853293954e+012
  1.843168445408e+007  1.412825783387e+011  2.963625510089e+011  3.282387903886e+010 -7.694621752255e+010 -2.079553278207e+011 -1.423281634762e+012 -2.117360871607e+012  4.477577579970e+012 -4.651433802240e+012
  2.074619393377e+007  1.392055090480e+011  2.939384446113e+011  2.452120418119e+010 -8.164590530680e+010 -2.059515181606e+011 -1.423423806791e+012 -2.116442201406e+012  4.477677613477e+012 -4.652014190257e+012
  2.306299888948e+007  1.369061937301e+011  2.915110041151e+011  1.556493574056e+010 -8.599482995913e+010 -2.038541376273e+011 -1.423563362960e+012 -2.115523053215e+012  4.477777383776e+012 -4.652594457988e+012
  2.538198687486e+007  1.343882514783e+011  2.890802570735e+011  6.194597410837e+009 -8.997383942743e+010 -2.016641271038e+011 -1.423700303020e+012 -2.114603427240e+012  4.477876890860e+012 -4.653174605420e+012
  2.770304681519e+007  1.316556484049e+011  2.866462310773e+011 -3.339909370294e+009 -9.356528327792e+010 -1.993824684309e+011 -1.423834626729e+012 -2.113683323689e+012  4.477976134725e+012 -4.653754632536e+012
  3.002607002260e+007  1.287126919152e+011  2.842089537547e+011 -1.278501158559e+010 -9.675309152807e+010 -1.970101840274e+011 -1.423966333848e+012 -2.112762742771e+012  4.478075115364e+012 -4.654334539323e+012
  3.235095120403e+007  1.255640244665e+011  2.817684527709e+011 -2.189019481594e+010 -9.952284870368e+010 -1.945483364940e+011 -1.424095424144e+012 -2.111841684693e+012  4.478173832772e+012 -4.654914325764e+012
  3.467758943980e+007  1.222146168178e+011  2.793247558281e+011 -3.041458056397e+010 -1.018618627597e+011 -1.919980282036e+011 -1.424221897389e+012 -2.110920149664e+012  4.478272286942e+012 -4.655493991846e+012
  3.700588911194e+007  1.186697607765e+011  2.768778906646e+011 -3.813318538098e+010 -1.037592284920e+011 -1.893604008764e+011 -1.424345753359e+012 -2.109998137892e+012  4.478370477869e+012 -4.656073537553e+012
  3.933576076343e+007  1.149350614484e+011  2.744278850552e+011 -4.484271125691e+010 -1.052058850551e+011 -1.866366351402e+011 -1.424466991837e+012 -2.109075649585e+012  4.478468405547e+012 -4.656652962869e+012
  4.166712187110e+007  1.110164289992e+011  2.719747668100e+011 -5.036673379682e+010 -1.061946671961e+011 -1.838279500771e+011 -1.424585612607e+012 -2.108152684952e+012  4.478566069971e+012 -4.657232267781e+012
  4.399989751765e+007  1.069200699354e+011  2.695185637752e+011 -5.456017314982e+010 -1.067203498050e+011 -1.809356027544e+011 -1.424701615461e+012 -2.107229244202e+012  4.478663471134e+012 -4.657811452273e+012
  4.633402095006e+007  1.026524779131e+011  2.670593038316e+011 -5.731295178663e+010 -1.067796853870e+011 -1.779608877420e+011 -1.424815000196e+012 -2.106305327543e+012  4.478760609031e+012 -4.658390516329e+012
  4.866943401441e+007  9.822042408469e+010  2.645970148952e+011 -5.855276257074e+010 -1.063714340582e+011 -1.749051366149e+011 -1.424925766613e+012 -2.105380935184e+012  4.478857483656e+012 -4.658969459936e+012
  5.100608745901e+007  9.363094699332e+010  2.621317249164e+011 -5.824688988739e+010 -1.054963856804e+011 -1.717697174416e+011 -1.425033914516e+012 -2.104456067333e+012  4.478954095004e+012 -4.659548283078e+012
  5.334394110065e+007  8.889134202670e+010  2.596634618798e+011 -5.640304583601e+010 -1.041573737587e+011 -1.685560342580e+011 -1.425139443718e+012 -2.103530724201e+012  4.479050443068e+012 -4.660126985740e+012
  5.568296385048e+007  8.400915044142e+010  2.571922538040e+011 -5.306920273635e+010 -1.023592807431e+011 -1.652655265271e+011 -1.425242354034e+012 -2.102604905996e+012  4.479146527843e+012 -4.660705567908e+012
  5.802313359898e+007  7.899214797068e+010  2.547181287410e+011 -4.833242259183e+010 -1.001090344024e+011 -1.618996685849e+011 -1.425342645285e+012 -2.101678612927e+012  4.479242349324e+012 -4.661284029565e+012
